,eng,fre
5555,Birds lay eggs.,Las aves ponen huevos.
5556,Both are alive.,Los dos están vivos.
5557,Both are alive.,Ambos están vivos.
5558,Brace yourself.,Prepárate.
5559,Bring a shovel.,Traé una pala.
5560,Bring it to me.,Tráemelo.
5561,Bring it to me.,Tráigamelo.
5562,Can I come too?,¿También puedo venir yo?
5563,Can I eat this?,¿Puedo comerme esto?
5564,Can I go first?,¿Puedo ser primero?
5565,Can I help you?,¿Puedo ayudarle?
5566,Can I help you?,¿Puedo ayudarte?
5567,Can I help you?,¿Puedo ayudar?
5568,Can I help you?,¿Te puedo ayudar?
5569,Can I kiss you?,¿Puedo besarte?
5570,Can I see them?,¿Puedo verlos?
5571,Can I see them?,¿Puedo verles?
5572,Can I see them?,¿Me dejas verlos?
5573,Can I see them?,¿Me deja verles?
5574,Can I sit down?,¿Puedo sentarme?
5575,Can it be true?,¿Puede ser cierto?
5576,Can we make it?,¿Podremos conseguirlo?
5577,Can we make it?,¿Lo conseguiremos?
5578,Can we move on?,¿Podemos proseguir?
5579,Can we move on?,¿Podemos continuar?
5580,Can you get up?,¿Puedes levantarte?
5581,Can you see it?,¿Puedes verlo?
5582,Catch the ball.,Atrapa la pelota.
5583,Cats are smart.,Los gatos son inteligentes.
5584,Check everyone.,Comprueba a todo el mundo.
5585,Check everyone.,Revísalos a todos.
5586,Check this out.,Échale un vistazo a esto.
5587,Clean the room.,Limpia la pieza.
5588,Close the book.,Cierra el libro.
5589,Close the door.,Cierra la puerta.
5590,Close the gate.,Cierra la puerta.
5591,Close the safe.,¡Cierra la caja fuerte!
5592,"Coffee, please.","Café, por favor."
5593,Come back here.,Vuelve aquí.
5594,Come back home.,Vuelve a casa.
5595,Come back soon.,Regresa pronto.
5596,Come back soon.,Vuelve pronto.
5597,Come down here.,Baja aquí.
5598,Come here soon.,Ven pronto.
5599,Come here soon.,Vente pronto.
5600,Come here soon.,Ven pronto aquí.
5601,Come on inside.,Entra.
5602,Come on inside.,Ven entra.
5603,"Come on, do it.","Vamos, hazlo."
5604,"Come on, do it.","Vamos, háganlo."
5605,Come over here.,Ven acá.
5606,Come over here.,Ven p'acá.
5607,Contact my son.,Contacte a mi hijo.
5608,Copy this file.,Copia este archivo.
5609,Cows eat grass.,Las vacas comen pasto.
5610,Cows give milk.,Las vacas dan leche.
5611,Cut it in half.,Pártelo a la mitad.
5612,Dad isn't home.,Papá no está en casa.
5613,Did I hurt you?,¿Te he hecho daño?
5614,Did I say that?,¿Yo dije eso?
5615,Did I wake you?,¿Te he despertado?
5616,Did Tom buy it?,¿Tom lo compró?
5617,Did you forget?,¿Acaso te olvidaste?
5618,Did you forget?,¿Te has olvidado?
5619,Did you get it?,¿Entendió?
5620,Did you say 30?,¿Acaso dijiste treinta?
5621,Did you see it?,¿Lo viste?
5622,Dinner's on me.,La cena va por mi cuenta.
5623,Dinner's on me.,Yo pago la cena.
5624,Dinner's ready!,¡La cena está lista!
5625,Dinner's ready.,La cena está preparada.
5626,Do as you like.,Haz lo que quieras.
5627,Do as you like.,Haz como gustes.
5628,Do as you want.,Haz lo que quieras.
5629,Do it this way.,Hazlo de esta manera.
5630,Do it tomorrow.,Hágalo mañana.
5631,Do it yourself.,Hazlo tú mismo.
5632,Do it yourself.,Háztelo.
5633,Do not do that.,No hagas eso.
5634,Do that for me.,Haz eso por mí.
5635,Do we know you?,¿Acaso te conocemos?
5636,Do we know you?,¿Os conocemos?
5637,Do we know you?,¿Te conocemos?
5638,Do you hate me?,¿Me odias?
5639,Do you have it?,¿Lo tienes?
5640,Do you hear me?,¿Me oyes?
5641,Do you hear me?,¿Me escuchás?
5642,Do you know it?,¿Lo sabes?
5643,Do you know me?,¿Me conocés?
5644,Do you know me?,¿Me conocen?
5645,Do you know me?,¿Me conoce usted?
5646,Do you know us?,¿Nos conoces?
5647,Do you like it?,¿Te gusta?
5648,Do you love me?,¿Me quieres?
5649,Do you love me?,¿Me amas?
5650,Do you love me?,¿Te gusto?
5651,Do you miss me?,¿Me echas de menos?
5652,Do you promise?,¿Lo prometes?
5653,Do you recycle?,¿Tú reciclas?
5654,Do you want it?,¿Lo quieres?
5655,Do you want it?,¿Lo queréis?
5656,Do you want it?,¿Lo quieren ustedes?
5657,Does that work?,¿Eso funciona?
5658,Does this hurt?,¿Duele esto?
5659,Does this hurt?,¿Te duele esto?
5660,Does this hurt?,¿Le duele esto?
5661,Dogs are smart.,Los perros son listos.
5662,Dogs are smart.,Los perros son inteligentes.
5663,Don't annoy me.,No me des la lata.
5664,Don't be a pig.,No sea un cerdo.
5665,Don't be angry.,No te enfades.
5666,Don't be angry.,No se enfade.
5667,Don't be cruel.,No seas cruel.
5668,Don't be naive.,No seas ingenuo.
5669,Don't be silly.,No seas tonto.
5670,Don't be silly.,No seas boludo.
5671,Don't blame me.,No me culpes.
5672,Don't complain.,No te quejes.
5673,Don't get lost.,No te pierdas.
5674,Don't go there.,No vayas ahí.
5675,Don't help Tom.,No ayudes a Tom.
5676,Don't hurt her.,No la lastimes.
5677,Don't hurt him.,No lo lastimes.
5678,Don't leave me.,No me dejes.
5679,Don't leave us.,No nos deje.
5680,Don't run here.,No corras aquí.
5681,Don't say that.,No digas eso.
5682,Don't say that.,¡No digas eso!
5683,Don't stand up.,No te levantes.
5684,Don't struggle.,No forcejees.
5685,Don't tempt me.,No me tientes.
5686,Don't touch it.,No lo toques.
5687,Don't touch me!,¡No me toques!
5688,Don't watch TV.,No veas la televisión.
5689,Drink some tea.,Bebe algo de té.
5690,Drop the knife!,¡Suelta el cuchillo!
5691,Duck your head.,Agacha tu cabeza.
5692,Eat everything.,Cómete todo.
5693,Eat everything.,Cómanse todo.
5694,Enjoy the show.,Disfrute del espectáculo.
5695,Enjoy the show.,Disfruta del espectáculo.
5696,Enjoy the show.,Disfruten del espectáculo.
5697,Enjoy the show.,Disfrutad del espectáculo.
5698,Enjoy yourself.,Pásala bien.
5699,Enjoy yourself.,Pásenla bien.
5700,Everybody knew.,Todos lo sabían.
5701,Everybody knew.,Todo el mundo lo sabía.
5702,Everybody lies.,Todos mienten.
5703,Everybody paid.,Todo el mundo pagó.
5704,Everybody paid.,Todos pagaron.
5705,Everyone cries.,Todo el mundo llora.
5706,Everyone stood.,Todo el mundo se quedó.
5707,Fight like men.,Peleen como hombres.
5708,Fight like men.,Pelead como hombres.
5709,Fishing is fun.,Pescar es divertido.
5710,Follow the car.,Sigue al coche.
5711,Follow the car.,Siga al coche.
5712,Form two lines.,Forma dos filas.
5713,Get in the van.,Súbete a la van.
5714,Get in the van.,Métete en la caravana.
5715,Get me a towel.,Tráeme una toalla.
5716,Get on in here.,Ven acá.
5717,Get on the bus.,¡Súbase al bus!
5718,Get on the bus.,¡Súbete al bus!
5719,Get on the bus.,Subíos al autobús.
5720,Get some sleep.,Descansa un poco.
5721,Get some sleep.,Duerme algo.
5722,Give it to her.,Dáselo a ella.
5723,Give it to her.,Dáselo.
5724,Give it to him.,Dáselo a él.
5725,Give it to him.,Dáselo.
5726,Give me a hint.,Dame una pista.
5727,Give me a kiss.,Dame un beso.
5728,Give me my bag.,Dame mi bolsa.
5729,Give me my bag.,Dame mi cartera.
5730,Give us a hand.,Ayúdanos.
5731,Go back to bed.,Vuelve a la cama.
5732,Go get changed.,Andá a cambiarte.
5733,Go get changed.,Ve a cambiarte.
5734,Good afternoon.,Buenas tardes.
5735,"Good luck, Tom.","Buena suerte, Tom."
5736,"Good work, Tom.","Buen trabajo, Tom."
5737,Hand it to him.,Pásaselo.
5738,Hand me my mug.,Tráeme mi taza.
5739,Happy New Year!,¡Feliz año!
5740,Happy holidays.,Felices vacaciones.
5741,Have they gone?,¿Han ido?
5742,Have they gone?,¿Han salido?
5743,Have you eaten?,¿Has comido?
5744,Have you eaten?,¿Comiste?
5745,Have you eaten?,¿Ya comiste?
5746,Have you slept?,¿Has dormido?
5747,Have you slept?,¿Habéis dormido?
5748,Have you slept?,¿Ha dormido usted?
5749,He accelerated.,Él aceleró.
5750,He almost died.,Casi se muere.
5751,He also saw it.,Él también lo vio.
5752,He became rich.,Él se ha hecho rico.
5753,He bit his lip.,Él se mordió el labio.
5754,He came by bus.,Ha venido en autobús.
5755,He came by car.,Él vino en carro.
5756,He can't count.,Él no sabe contar.
5757,He deceived me.,Él me engañó.
5758,He deserved it.,Él se lo merecía.
5759,He dislikes me.,Me tiene antipatía.
5760,He doesn't lie.,Él no miente.
5761,He doesn't tan.,Él no se pone moreno.
5762,He flew a kite.,Él elevó un volantín.
5763,He has 12 sons.,Él tiene 12 hijos.
5764,He has a beard.,Él tiene barba.
5765,He has a beard.,Tiene barba.
5766,He has a point.,En eso tiene razón.
5767,He has changed.,Ha cambiado.
5768,He has to come.,Tiene que venir.
5769,He hated lying.,Él odiaba mentir.
5770,He hit me back.,Él me regresó el golpe.
5771,He hit me back.,Él me devolvió el golpe.
5772,He is Canadian.,Es canadiense.
5773,He is Japanese.,Él es japonés.
5774,He is a doctor.,Él es médico.
5775,He is a genius.,Él es un genio.
5776,He is a golfer.,Él es golfista.
5777,He is a writer.,Él es escritor.
5778,He is an actor.,Él es actor.
5779,He is bankrupt.,Él está arruinado.
5780,He is homeless.,Él es un sin techo.
5781,He is my uncle.,Es mi tío.
5782,He is my uncle.,Él es mi tío.
5783,He is not dumb.,Él no es tonto.
5784,He is outgoing.,Él es extrovertido.
5785,He is punctual.,Él es puntual.
5786,He lay face up.,Él estaba tirado de espaldas.
5787,He learns fast.,Él aprende rápido.
5788,He likes jelly.,Le gusta la gelatina.
5789,He likes money.,Le gusta el dinero.
5790,He lives alone.,Él vive solo.
5791,He looked away.,Él miró hacia otro lado.
5792,He looked back.,Él miró hacia atrás.
5793,He looked well.,Él tenía buen aspecto.
5794,He looks young.,Él se ve joven.
5795,He loves music.,Adora la música.
5796,He loves music.,A él le encanta la música.
5797,He needs money.,Le falta dinero.
5798,He plays there.,Él juega allí.
5799,He respects me.,Él me respeta.
5800,He saw it also.,También lo vio.
5801,"He saw it, too.",Él también lo vio.
5802,He scolded her.,La retó.
5803,He scolded her.,La increpó.
5804,He scolded her.,Él la riñó.
5805,He seems angry.,Parece enfadada.
5806,He seems happy.,Parece feliz.
5807,He seems tired.,Él parece cansado.
5808,He sells fruit.,Él vende frutas.
5809,He sells fruit.,Vende frutas.
5810,He should come.,Debería venir.
5811,He slapped her.,Él le abofeteó a ella.
5812,He talks a lot.,Él habla mucho.
5813,He trusted you.,Él confió en vos.
5814,He walked away.,Él se fue.
5815,He walked home.,Él caminó a casa.
5816,He wants to go.,Quiere ir.
5817,He was English.,Él era inglés.
5818,He was at home.,Él estaba en casa.
5819,He was drowned.,Se ahogó.
5820,He was invited.,Él fue invitado.
5821,He was patient.,Él era paciente.
5822,He went abroad.,Se fue al extranjero.
5823,He went to bed.,Él se fue a acostar.
5824,He went to bed.,Él se acostó.
5825,He worked hard.,Él trabajó duro.
5826,He's a bit shy.,Él es un poco tímido.
5827,He's a florist.,Es florista.
5828,He's a man now.,Ahora es un hombre.
5829,He's a slacker.,Él es un vago.
5830,He's a slacker.,Él es un perezoso.
5831,He's all right.,Está bien.
5832,He's all right.,Él está bien.
5833,He's an animal.,Él es un animal.
5834,He's an author.,Él es un escritor.
5835,He's depressed.,Está deprimido.
5836,He's in danger.,Él está en peligro.
5837,He's in prison.,Él está en prisión.
5838,He's my father.,Él es mi padre.
5839,He's not going.,Él no va.
5840,He's not ready.,Él no está listo.
5841,He's so stupid.,Es muy tonto.
5842,He's too drunk.,Está demasiado borracho.
5843,He's uninsured.,Él no está asegurado.
5844,Hello everyone!,¡Hola a todos!
5845,Help Tom study.,Ayuda a Tom a estudiar.
5846,Help Tom study.,Ayúdale a Tom a estudiar.
5847,Help is coming.,La ayuda está llegando.
5848,Here comes Tom.,Aquí viene Tom.
5849,Here is a book.,Aquí hay un libro.
5850,Here is my key.,Aquí está mi llave.
5851,Here they come.,Aquí vienen.
5852,Here's my card.,Aquí está mi tarjeta.
5853,Here's the bus.,Aquí está el bus.
5854,"Here, try this.","Toma, prueba esto."
5855,"Hey, come here.","Oye, ven aquí."
5856,"Hey, come here.","Oye, venid aquí."
5857,"Hey, come here.","Oiga, venga aquí."
5858,"Hi, come on in.","Hola, pasa adelante."
5859,"Hi, come on in.","Hola, entra."
5860,Hide that book.,Esconde ese libro.
5861,Hide the money.,Escondé la plata.
5862,His head ached.,Le dolía la cabeza.
5863,His son is ill.,Su hijo está enfermo.
5864,His son is ill.,Su hijo está malo.
5865,How are things?,¿Cómo van las cosas?
5866,How can I help?,¿Cómo puedo ayudar?
5867,How deep is it?,¿Cuán profundo es?
5868,How disgusting!,¡Qué asco!
5869,How do we look?,¿Cómo nos vemos?
5870,How good is he?,¿Cómo de bueno es?
5871,How lucky I am!,¡Qué afortunado soy!
5872,How much is it?,¿Cuánto cuesta eso?
5873,How much is it?,¿Cuánto es?
5874,How old is Tom?,¿Cuántos años tiene Tom?
5875,How tall is he?,¿Qué tan alto es él?
5876,How tall is he?,¿Cómo de alto es él?
5877,How tall is he?,¿Cuánto mide él?
5878,How was Boston?,¿Qué tal en Boston?
5879,How's business?,¿Cómo va el negocio?
5880,How's the wife?,¿Cómo está tu mujer?
5881,"Hurry up, guys.","¡Apúrensen, muchachos!"
5882,I already know.,Ya sé.
5883,I am a shy boy.,Soy un hombre tímido.
5884,I am a shy boy.,Soy un chico tímido.
5885,I am a student.,Soy estudiante.
5886,I am a student.,Soy un estudiante.
5887,I am a teacher.,Yo soy profesor.
5888,I am a teacher.,Soy maestro.
5889,I am a tourist.,Soy un turista.
5890,I am a tourist.,Yo soy una turista.
5891,I am an artist.,Soy un artista.
5892,I am exhausted.,Estoy exhausto.
5893,I am exhausted.,Estoy reventado.
5894,I am exhausted.,Estoy agotado.
5895,I am like them.,Soy como ellos.
5896,I am not Czech.,Yo no soy checo.
5897,I am too short.,Soy demasiado bajo.
5898,I am too short.,Soy demasiado pequeño.
5899,I am very tall.,Soy muy alto.
5900,I ate the meat.,Me comí la carne.
5901,I ate too much.,Comí demasiado.
5902,I believed you.,Te creí.
5903,I bet it works.,Apuesto a que funciona.
5904,I borrow money.,Presto dinero.
5905,I bought a hat.,Compré un sombrero.
5906,I broke a nail.,Me rompí una uña.
5907,I broke my arm.,Me he roto el brazo.
5908,I broke my arm.,Me rompí el brazo.
5909,I broke my leg.,Me rompí la pierna.
5910,I brought wine.,Traje vino.
5911,I came for you.,Vine por ti.
5912,I came for you.,Vine por usted.
5913,I came for you.,Vine por vosotros.
5914,I came for you.,Vine por ustedes.
5915,I came on foot.,Vine a pie.
5916,I can do magic.,Puedo hacer magia.
5917,I can fix this.,Puedo arreglar esto.
5918,I can help Tom.,Puedo ayudar a Tom.
5919,I can help you.,Puedo ayudarte.
5920,I can prove it.,Puedo demostrarlo.
5921,I can't get up.,No puedo levantarme.
5922,I can't see it.,No lo puedo ver.
5923,I count on Tom.,Cuento con Tom.
5924,I deserve more.,Yo merezco más.
5925,I did it wrong.,Lo hice mal.
5926,I did warn you.,Os avisé.
5927,I didn't budge.,No cedí.
5928,I didn't cheat.,No engañé.
5929,I didn't cheat.,No hice trampas.
5930,I didn't do it.,Yo no lo he hecho.
5931,I didn't drive.,Yo no he conducido.
5932,I didn't laugh.,No me reí.
5933,I dislike eggs.,Odio los huevos.
5934,I do like fish.,A mí me gusta de veras el pescado.
5935,I do not agree.,No estoy de acuerdo.
5936,I do notice it.,Sí me doy cuenta.
5937,I do notice it.,Lo noto.
5938,I don't buy it.,No me lo trago.
5939,I don't buy it.,No pico.
5940,I don't follow.,No sigo.
5941,I don't get it.,No entiendo.
5942,I don't get it.,No lo cojo.
5943,I don't see it.,No lo veo.
5944,I don't see it.,Yo no lo veo.
5945,I don't use it.,No lo uso.
5946,I drink coffee.,Bebo café.
5947,I fear nothing.,No le temo a nada.
5948,I fear nothing.,No temo nada.
5949,I feel at ease.,Me siento en paz.
5950,I feel for you.,Lo siento por ti.
5951,I feel honored.,Me siento honrado.
5952,I feel nothing.,No siento nada.
5953,I feel so lost.,Me siento tan perdido.
5954,I feel trapped.,Me siento atrapado.
5955,I feel useless.,Me siento inútil.
5956,I felt cheated.,Me sentí engañado.
5957,I gave my word.,Empeñé mi palabra.
5958,I get up early.,Yo me levanto temprano.
5959,I go to school.,Voy a la escuela.
5960,I got arrested.,Me arrestaron.
5961,I got divorced.,Me divorcié.
5962,I got homesick.,Me puse nostálgico.
5963,I got homesick.,Tenía nostalgia.
5964,I got up early.,Me levanté temprano.
5965,I guarantee it.,Lo garantizo.
5966,I had a stroke.,Tuve un golpe.
5967,I had some fun.,Me divertí.
5968,I had to do it.,Tuve que hacerlo.
5969,I hate Mondays.,Odio los lunes.
5970,I hate Sundays.,Odio los domingos.
5971,I hate dancing.,Odio bailar.
5972,I hate dancing.,Detesto bailar.
5973,I hate her now.,La odio ahora.
5974,I hate insects.,Odio a los insectos.
5975,I hate ironing.,Odio planchar.
5976,I hate ironing.,Detesto planchar.
5977,I hate karaoke.,Odio el karaoke.
5978,I hate lawyers.,Odio a los abogados.
5979,I hate my boss.,Odio a mi jefe.
5980,I hate parties.,Odio las fiestas.
5981,I hate riddles.,Odio los acertijos.
5982,I hate spiders.,Odio a las arañas.
5983,I hate spinach.,Odio las espinacas.
5984,I hate to iron.,Detesto planchar.
5985,I hate working.,Odio trabajar.
5986,I hate working.,Detesto trabajar.
5987,I have a cough.,Tengo tos.
5988,I have a dream.,Tengo un sueño.
5989,I have a house.,Tengo una casa.
5990,I have a hunch.,Tengo una corazonada.
5991,I have a ranch.,Yo tengo un rancho.
5992,I have a truck.,Tengo un camión.
5993,I have an idea.,Tengo una idea.
5994,I have no food.,No tengo comida.
5995,I have no home.,No tengo hogar.
5996,I have no home.,No tengo casa.
5997,I have no idea.,Ni idea.
5998,I have no idea.,No tengo idea.
5999,I have no wife.,No tengo esposa.
6000,I have nothing.,No tengo nada.
6001,I have one kid.,Tengo un escuincle.
6002,I have sisters.,Tengo hermanas.
6003,I have to hide.,Me tengo que esconder.
6004,I have to work.,Tengo que trabajar.
6005,I hiccup a lot.,Tengo mucho hipo.
6006,I hope you die.,Ojalá que te mueras.
6007,I hope you die.,Espero que te mueras.
6008,I hope you win.,Espero que ganes.
6009,I hurried home.,Me apresuré a casa.
6010,I hurt my foot.,Me hice daño en el pie.
6011,I hurt my foot.,Me lastimé el pie.
6012,I just gave up.,Sencillamente me rendí.
6013,I just met him.,Me acabo de encontrar con él.
6014,I just want it.,Simplemente lo quiero.
6015,I just want it.,Lo quiero ya.
6016,I just want it.,Lo quiero y ya está.
6017,I kept my word.,Mantuve mi palabra.
6018,I know it well.,Lo sé bien.
6019,I know the boy.,Conozco al chico.
6020,I like English.,Me gusta el inglés.
6021,I like castles.,Me gustan los castillos.
6022,I like chicken.,Me gusta el pollo.
6023,I like cookies.,Me gustan las galletas.
6024,I like cooking.,Me gusta cocinar.
6025,I like fishing.,Me gusta la pesca.
6026,I like history.,Me gusta la historia.
6027,I like jogging.,Me gusta trotar.
6028,I like mahjong.,Me gusta el mahjongg.
6029,I like my life.,Me gusta mi vida.
6030,I like noodles.,Me gustan los fideos.
6031,I like noodles.,Me gustan los tallarines.
6032,I like picnics.,Me gusta ir de picnic.
6033,I like puzzles.,Me gustan los rompecabezas.
6034,I like sashimi.,Me gusta el sashimi.
6035,I like seafood.,Me gustan los mariscos.
6036,I like singing.,Me gusta cantar.
6037,I like stories.,Me gustan las historias.
6038,I like talking.,Me gusta hablar.
6039,I like the dog.,Me gusta el perro.
6040,I like to cook.,Me gusta cocinar.
6041,I like to sing.,Me gusta cantar.
6042,I like to swim.,Me gusta nadar.
6043,I like to talk.,Me gusta hablar.
6044,I like to walk.,Me gusta caminar.
6045,I like to work.,Me gusta trabajar.
6046,I like turtles.,Me gustan las tortugas.
6047,I like walking.,Me gusta caminar.
6048,I like working.,Me gusta trabajar.
6049,I like writing.,Me gusta escribir.
6050,I like writing.,Me gusta la escritura.
6051,I live upstate.,Vivo en el norte.
6052,I live upstate.,Vivo hacia el norte.
6053,I love Harvard.,Me encanta Harvard.
6054,I love Harvard.,Adoro Harvard.
6055,I love chicken.,Me encanta el pollo.
6056,I love chicken.,Me gusta el pollo.
6057,I love flowers.,Adoro las flores.
6058,I love his son.,Amo a su hijo.
6059,I love lasagna.,Adoro la lasaña.
6060,I love parties.,Me encantan las fiestas.
6061,I love reading.,Me encanta leer.
6062,I love sunsets.,Me gustan mucho las puestas de Sol.
6063,I love the sun.,Me gusta el sol.
6064,I love the sun.,Me gusta mucho el sol.
6065,I love winning.,Adoro ganar.
6066,I loved Boston.,Me gustaba Boston.
6067,I made cookies.,Hice galletitas.
6068,I may be wrong.,Puede que me equivoque.
6069,I may be wrong.,Puedo estar equivocado.
6070,I mean no harm.,No quiero hacer daño.
6071,I met a friend.,Me encontré con una amiga.
6072,I met him once.,Lo conocí una vez.
6073,I miss you all.,Os echo de menos a todos.
6074,I must buy one.,Tengo que comprar uno.
6075,I must go back.,Debo regresar.
6076,I need a favor.,Necesito un favor.
6077,I need a favor.,Necesito una gauchada.
6078,I need a medic.,Necesito a un doctor.
6079,I need a raise.,Necesito un aumento.
6080,I need a ruler.,Necesito una regla.
6081,I need a smoke.,Necesito un cigarrillo.
6082,I need a snack.,Necesito un bocadillo.
6083,I need a stamp.,Necesito un sello.
6084,I need a towel.,Necesito una toalla.
6085,I need answers.,Necesito respuestas.
6086,I need friends.,Necesito tener amigos.
6087,I need it ASAP.,Lo necesito tan pronto como sea posible.
6088,I need my keys.,Necesito mis llaves.
6089,I need surgery.,Necesito cirugía.
6090,I need to quit.,Necesito dejarlo.
6091,I need to rest.,Necesito descansar.
6092,I need to stop.,Tengo que parar.
6093,I need to work.,Necesito trabajar.
6094,I needed money.,Necesitaba dinero.
6095,I often travel.,Viajo a menudo.
6096,I owe him $100.,Le debo cien dólares.
6097,I own this car.,Tengo este auto.
6098,I pay Tom well.,Le pago bien a Tom.
6099,I pay my taxes.,Yo pago mis impuestos.
6100,I plead guilty.,Me declaro culpable.
6101,I promised Tom.,Se lo prometí a Tom.
6102,I punished Tom.,Castigué a Tom.
6103,I quit smoking.,Dejé de fumar.
6104,I raise cattle.,Yo crío ganado.
6105,I remember Tom.,Me acuerdo de Tom.
6106,I remember now.,Ahora recuerdo.
6107,I remember you.,Te recuerdo.
6108,I remember you.,Me acuerdo de ti.
6109,I said go away.,Dije que te largues.
6110,I said goodbye.,Dije que adiós.
6111,I said nothing.,No dije nada.
6112,I said shut up!,¡Te dije que te calles!
6113,I said shut up!,¡Dije cierra la boca!
6114,I saw a friend.,Vi a un amigo.
6115,I saw a friend.,Vi a una amiga.
6116,I saw five men.,Vi a cinco hombres.
6117,I saw her swim.,La vi nadar.
6118,I saw him jump.,Le vi saltar.
6119,I saw it first.,Yo lo vi primero.
6120,I saw it on TV.,Lo vi en la televisión.
6121,I saw somebody.,Vi a alguien.
6122,I saw the news.,Vi las noticias.
6123,I sneeze a lot.,Estornudo mucho.
6124,I sold the car.,Vendí el auto.
6125,I speak French.,Hablo francés.
6126,I speak French.,Yo hablo francés.
6127,I study French.,Estudio francés.
6128,I study Korean.,Estudio coreano.
6129,I study Korean.,Yo estudio coreano.
6130,I teach French.,Enseño francés.
6131,I turned right.,Giré a la derecha.
6132,I want a glass.,Quisiera un vaso.
6133,I want a knife.,Quiero un cuchillo.
6134,I want a puppy.,Quiero un perrito.
6135,I want a puppy.,Quiero un cachorrito.
6136,I want another.,Quiero otro.
6137,I want the fan.,Quiero el ventilador.
6138,I want to help.,Quiero ayudar.
6139,I want to know.,Quiero saberlo.
6140,I want to live.,Quiero vivir.
6141,I want to play.,Quiero jugar.
6142,I want to quit.,Quiero renunciar.
6143,I want to rest.,Quiero descansar.
6144,I want to talk.,Quiero hablar.
6145,I want to work.,Quiero trabajar.
6146,I was all ears.,Era todo oídos.
6147,I was an idiot.,Fui un idiota.
6148,I was an idiot.,Era un idiota.
6149,I was an idiot.,Fui una idiota.
6150,I was an idiot.,Era una idiota.
6151,I was arrested.,Fui arrestado.
6152,I was arrested.,Fui arrestada.
6153,I was barefoot.,Estaba descalzo.
6154,I was captured.,Fui capturado.
6155,I was dreaming.,Estaba soñando.
6156,I was insulted.,Fui ofendido.
6157,I was laughing.,Me estaba riendo.
6158,I was on leave.,Estaba de vacaciones.
6159,I was restless.,Yo era inquieto.
6160,I was sleeping.,Estaba durmiendo.
6161,I was sweating.,Estaba sudando.
6162,I was thrilled.,Estaba excitado.
6163,I was too fast.,Yo era demasiado rápido.
6164,I was welcomed.,Fui bienvenido.
6165,I was worn out.,Estaba agotado.
6166,I wasn't drunk.,No estaba borracho.
6167,I wasn't drunk.,No estaba ebrio.
6168,I wasn't happy.,No era feliz.
6169,I wasn't lucky.,No tuve suerte.
6170,I wasn't ready.,No estaba listo.
6171,I wasn't there.,Yo no estaba allí.
6172,I wear glasses.,Uso gafas.
6173,I went fishing.,Fui a pescar.
6174,I went on foot.,Fui a pie.
6175,I will prosper.,Prosperaré.
6176,I will sue you.,Te demandaré.
6177,I wish I could.,Desearía poder.
6178,I wish I could.,Ojalá pudiera.
6179,I'd be careful.,Sería cuidadoso.
6180,I'd be honored.,Sería un honor para mí.
6181,I'd rather die.,Preferiría morir.
6182,I'd rather not.,Preferiría que no.
6183,I'll ask later.,Preguntaré más tarde.
6184,I'll ask later.,Voy a preguntar más tarde.
6185,I'll be around.,Estaré cerca.
6186,I'll be around.,Estaré por ahí.
6187,I'll be around.,Voy a estar por ahí.
6188,I'll be direct.,Seré directo.
6189,I'll be direct.,Voy a ser directo.
6190,I'll call them.,Los llamaré.
6191,I'll come back.,Volveré.
6192,I'll get a cab.,Voy a tomar un taxi.
6193,I'll get on it.,Me encargaré de eso.
6194,I'll get on it.,Me ocuparé de eso.
6195,I'll go by car.,Iré en auto.
6196,I'll go by car.,Iré en coche.
6197,I'll handle it.,Yo me ocuparé de ello.
6198,I'll pay extra.,Pagaré la extra.
6199,I'll pay later.,Pagaré más tarde.
6200,I'll pay today.,Pagaré hoy.
6201,I'll phone you.,Te llamaré.
6202,I'll scold him.,Lo regañaré.
6203,I'll scold him.,Le reñiré.
6204,I'll see to it.,Yo me ocuparé.
6205,I'll shoot you.,Te pego un tiro.
6206,I'll stay here.,Me voy a quedar acá.
6207,I'll stay home.,Me quedaré en casa.
6208,I'll stay home.,Me voy a quedar en casa.
6209,I'll teach Tom.,Le voy a enseñar a Tomás.
6210,I'll thank Tom.,Le daré las gracias a Tom.
6211,I'll treat you.,Te invitaré.
6212,I'll wait here.,Yo esperaré aquí.
6213,I'm Tom's boss.,Soy el jefe de Tom.
6214,I'm Tom's wife.,Soy la esposa de Tom.
6215,I'm a beginner.,Soy principiante.
6216,I'm a bit busy.,Estoy un poco ocupada.
6217,I'm a diabetic.,Soy diabética.
6218,I'm a free man.,Soy un hombre libre.
6219,I'm a good guy.,Soy un buen tipo.
6220,I'm a musician.,Soy músico.
6221,I'm a nice guy.,Soy un buen sujeto.
6222,I'm a prisoner.,Soy un prisionero.
6223,I'm a salesman.,Soy un hombre de negocios.
6224,I'm all for it.,Voy con todas por eso.
6225,I'm alone here.,Estoy sola acá.
6226,I'm an atheist.,Soy ateo.
6227,I'm an old man.,Soy un anciano.
6228,I'm astonished.,Estoy asombrada.
6229,I'm behind him.,Está detrás de él.
6230,I'm dead tired.,Estoy muerta de cansancio.
6231,I'm dependable.,Soy confiable.
6232,I'm devastated.,Estoy devastada.
6233,I'm diplomatic.,Soy diplomática.
6234,I'm eating now.,Ahora estoy comiendo.
6235,I'm eating now.,Estoy comiendo ahora.
6236,I'm fascinated.,Estoy fascinada.
6237,I'm feeling it.,Lo estoy sintiendo.
